Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2011-12-20,33.2432861328125,33.890773215008835,32.970660114575914,33.890773215008835,6670657
2011-12-21,33.36254119873047,33.686283394686434,33.05583624118735,33.56700885935176,10259801
2011-12-22,34.29969787597656,34.41897243522644,33.22623377595138,33.31142922939427,3456402
2011-12-23,34.504173278808594,34.74272012349885,33.924842256035895,34.24858687855297,3249611
2011-12-26,34.36785888671875,34.45305435282947,34.146351599260846,34.28266342060803,1273482
2011-12-27,33.72037124633789,34.35081625240523,33.106963483105694,34.33377900957009,4187065
2011-12-28,34.146339416503906,34.401925723647786,33.53293181714377,33.805557673645396,3375709
2011-12-29,34.07819366455078,34.248584586652036,33.805567726973806,34.07819366455078,2924882
2011-12-30,34.11227035522461,34.35081718320245,33.85668397287518,34.078193557556226,2087779
2012-01-02,34.07819366455078,34.163389125601405,33.584058141597296,33.95891909464998,1861469
2012-01-03,34.38488006591797,34.538231360747076,34.07817747625976,34.197449678427425,3372939
2012-01-04,34.58936309814453,34.86198669837923,33.85668081705872,34.35081398132732,3739279
2012-01-05,34.521217346191406,34.8449620326945,34.29971001328704,34.57233602299077,5389056
2012-01-06,33.99300003051758,34.52121006856129,33.686294967606,34.48713326895439,7340405
2012-01-09,34.55527877807617,34.69159055762364,33.771480267992686,33.771480267992686,2368495
2012-01-10,34.9642219543457,35.20276876179633,34.43600968072852,34.43600968072852,3215986
2012-01-11,34.146339416503906,34.99829377365017,34.044104431431535,34.99829377365017,4377469
2012-01-12,34.265625,34.55529051879973,33.89076632334301,34.55529051879973,4082544
2012-01-13,34.74272155761719,34.82791702788578,34.248588292274356,34.282665093736775,5766505
2012-01-16,34.129295349121094,34.74270286727853,33.992983594452234,34.35080252822643,4899595
2012-01-17,34.24858856201172,34.50417497483046,34.112274421863354,34.24858856201172,10428799
2012-01-18,33.7714958190918,34.504178326999195,33.498869823383814,34.367864173607565,6295415
2012-01-19,34.06114959716797,34.48712684598093,33.77148414354536,33.92483549090313,8276461
2012-01-20,34.57232666015625,34.82791304170927,34.04411434273172,34.0781934513687,6881600
2012-01-23,34.418975830078125,35.18573498669201,34.299701259063816,34.759757677462076,18551268
2012-01-24,34.265625,34.58936963080264,34.09523406213546,34.35082046893228,10219894
2012-01-25,34.36785888671875,34.589368485251576,33.92484200072803,34.45305435282947,13171474
2012-01-27,35.15165328979492,35.76506103214429,34.47008964520111,34.589364207434876,9816649
2012-01-30,34.674556732177734,35.270924870789926,34.5041658354314,34.759752180550905,4243234
2012-01-31,35.475399017333984,35.71394585398333,34.623444378532845,34.759758507385946,10322025
2012-02-01,35.08349609375,35.577629255643075,34.9812610886162,35.577629255643075,10757718
2012-02-02,35.8161735534668,36.139915787836344,34.981258640279734,35.1686890847277,11556658
2012-02-03,36.446617126464844,36.90667341569036,35.90136539931416,35.969521287439456,11926606
2012-02-06,37.14522933959961,37.31562025746796,36.24215608825251,36.702212490926954,9084488
2012-02-07,36.7192497253418,37.571204260864846,36.41254701698333,37.31561790020793,6079363
2012-02-08,36.70220947265625,37.74159444839249,36.173997208487876,37.00891448624169,11508450
2012-02-09,37.07707595825195,37.656404656220374,36.77037089856876,37.503053281916216,11499785
2012-02-10,36.582942962646484,37.23042757439204,36.12288652567076,36.59998020684381,8590813
2012-02-13,37.64728927612305,37.939129594267186,36.51426530884633,36.51426530884633,15608851
2012-02-14,37.561458587646484,37.853298940173616,37.338288196956384,37.595793568565,5735198
2012-02-15,38.0078010559082,38.83181962820297,37.52712530172296,37.59579293397418,15930040
2012-02-16,38.0078010559082,38.5399792806019,37.50995781155348,37.87046579140577,3862429
2012-02-17,38.35114669799805,38.969160128141425,38.11080878861647,38.454149324426446,8544515
2012-02-21,37.956302642822266,38.45414590985489,37.85330002554008,38.29964314814501,6934289
2012-02-22,37.750282287597656,38.69446829904688,37.664447195647725,37.88761983177307,5872252
2012-02-23,38.67731475830078,39.17516033382643,37.63012812173731,37.63012812173731,18016976
2012-02-24,39.24382781982422,39.5528380049045,38.72881938225556,38.814654509921475,10958004
2012-02-27,38.29963684082031,39.48416092342665,38.145134104554515,39.48416092342665,11266052
2012-02-28,38.38548278808594,38.93482626414155,38.02497474942085,38.454150431539496,9416477
2012-02-29,38.79749298095703,39.106498556670424,38.45415241753006,38.5399875583868,7991077
2012-03-01,38.62580871582031,39.00348413023376,38.2824682766904,38.402638361756416,2777389
2012-03-02,38.53997039794922,38.797475705861764,38.2137974736119,38.574305370374695,3172662
2012-03-05,37.87046432495117,38.57431276723121,37.47562138004938,38.41980769011546,3649302
2012-03-06,38.12797164916992,38.385477019744734,37.630128398410626,37.87046627859511,4557989
2012-03-07,37.286781311035156,37.870459582109845,36.668768065251115,37.76745698640811,15488701
2012-03-09,37.8189582824707,38.024963480206054,37.458452679073446,37.458452679073446,3852720
2012-03-12,38.059303283691406,38.40264377118454,37.71596279619827,38.11080342544469,5124092
2012-03-13,38.2309684753418,38.50563896629815,37.76745794710677,38.2309684753418,9731037
2012-03-14,38.6601448059082,38.934815302391435,38.29963686874092,38.539974717376964,4398722
2012-03-15,37.887638092041016,38.900492199518624,37.68163284070485,38.55715166624302,4513645
2012-03-16,37.01210403442383,38.45413321503866,36.82326635315171,37.93912262707436,3682825
2012-03-19,37.029273986816406,37.235276838671616,36.188088107689104,37.14944173495873,3294232
2012-03-20,36.891944885253906,37.3554554829835,36.56577188202003,37.029282479749625,3413743
2012-03-21,37.338287353515625,37.561457739164496,36.63443888799941,36.87477676371973,3430274
2012-03-22,36.47993469238281,37.3211183883705,36.15375937919689,37.08078052214925,3948023
2012-03-23,36.977779388427734,37.14944963234791,36.29109841274702,36.60010392043266,3647743
2012-03-26,36.37693786621094,36.90911615141679,36.136599961790324,36.73744588705535,4778733
2012-03-27,36.308265686035156,36.788941434770955,35.982090361792984,36.73744129327308,5834802
2012-03-28,36.462772369384766,36.70311026965939,36.13659933841013,36.479939861210156,4875221
2012-03-29,36.32542419433594,36.5657643531106,36.05075371875277,36.46276176055378,12199593
2012-03-30,37.132286071777344,37.54429656352794,36.32543490859718,36.32543490859718,8544753
2012-04-02,37.286781311035156,37.544286636076315,36.96060603657529,37.11511109434105,8676278
2012-04-03,37.801795959472656,37.939131215983565,37.252450276575836,37.47562065051272,3566758
2012-04-04,38.059303283691406,38.21380603737798,37.509957572331714,37.78463042801156,3850338
2012-04-09,37.664459228515625,38.059302174683445,37.269618610774444,37.80179681656703,4475284
2012-04-10,37.9047966003418,38.21380442308802,37.45845584819713,37.66445873493468,4598397
2012-04-11,38.35114669799805,38.454149324426446,37.4412952094724,37.4412952094724,4023851
2012-04-12,38.368309020996094,39.072155161833635,38.14513863415883,38.33397404067034,5102969
2012-04-13,38.45413589477539,38.90047890113377,37.95629275740213,38.45413589477539,6602489
2012-04-16,38.402645111083984,38.71165062923858,38.196639880029736,38.43697776397517,4350870
2012-04-17,39.00349044799805,39.10649073367985,38.1108042302929,38.16230437313381,9477019
2012-04-18,39.089317321777344,39.569992981600365,38.86614465023889,39.03781486137943,4441325
2012-04-19,39.363990783691406,39.48416087197846,38.900482575497975,38.96915019947925,2496045
2012-04-20,39.089317321777344,39.604327955198976,38.9004796238375,39.20948740094623,2778756
2012-04-23,38.02496337890625,39.31249004025616,37.83612566955632,38.9519821093929,3854809
2012-04-24,37.76746368408203,38.28247442549624,37.50995831337493,38.14513915915648,3169871
